iter	Passed	Remaining
0	57	57933
1	58	29177
2	58	19571
3	59	14758
4	59	11872
5	60	9951
6	60	8575
7	60	7558
8	61	6763
9	61	6119
10	62	5592
11	62	5144
12	62	4771
13	63	4452
14	63	4176
15	64	3936
16	64	3722
17	64	3532
18	65	3359
19	65	3206
20	65	3066
21	66	2939
22	66	2822
23	66	2713
24	67	2615
25	67	2527
26	67	2447
27	68	2371
28	68	2304
29	69	2240
30	69	2178
31	70	2120
32	70	2068
33	70	2016
34	71	1971
35	71	1924
36	72	1879
37	72	1838
38	72	1798
39	73	1761
40	73	1726
41	74	1691
42	74	1658
43	74	1625
44	75	1594
45	75	1564
46	75	1536
47	76	1509
48	76	1483
49	76	1459
50	77	1437
51	77	1413
52	77	1390
53	78	1369
54	78	1349
55	78	1329
56	79	1310
57	79	1291
58	80	1276
59	80	1258
60	80	1241
61	81	1225
62	81	1210
63	81	1194
64	82	1180
65	82	1166
66	82	1154
67	83	1141
68	83	1130
69	84	1118
70	84	1106
71	84	1094
72	85	1082
73	85	1071
74	86	1061
75	86	1051
76	86	1040
77	87	1030
78	87	1019
79	87	1009
80	88	998
81	88	989
82	88	980
83	89	970
84	89	962
85	89	953
86	90	945
87	90	937
88	90	929
89	91	921
90	91	913
91	91	905
92	92	898
93	92	891
94	92	884
95	93	878
96	93	871
97	93	864
98	94	857
99	94	851
100	94	844
101	95	838
102	95	831
103	95	826
104	96	819
105	96	813
106	96	807
107	97	802
108	97	796
109	97	791
110	98	786
111	98	781
112	98	776
113	99	771
114	99	766
115	100	762
116	100	757
117	100	752
118	101	748
119	101	744
120	101	740
121	102	736
122	102	732
123	103	728
124	103	724
125	103	720
126	104	716
127	104	712
128	104	708
129	105	704
130	105	700
131	105	696
132	106	694
133	106	690
134	107	687
135	107	683
136	107	680
137	108	676
138	108	673
139	108	669
140	109	666
141	109	662
142	110	659
143	110	656
144	110	652
145	111	650
146	111	647
147	111	643
148	112	640
149	112	637
150	113	635
151	113	633
152	113	630
153	114	627
154	114	624
155	114	621
156	115	618
157	115	615
158	116	613
159	116	612
160	116	609
161	117	606
162	117	604
163	117	601
164	118	598
165	118	596
166	119	594
167	119	591
168	119	589
169	120	587
170	120	584
171	120	582
172	121	579
173	121	578
174	122	576
175	122	574
176	123	572
177	123	569
178	123	567
179	124	565
180	124	563
181	124	561
182	125	558
183	125	557
184	125	554
185	126	552
186	126	550
187	126	548
188	127	545
189	127	543
190	127	541
191	128	539
192	128	537
193	128	535
194	129	533
195	129	532
196	130	530
197	130	528
198	131	527
199	131	526
200	132	524
201	132	522
202	132	521
203	133	519
204	133	517
205	133	515
206	134	513
207	134	512
208	134	510
209	135	508
210	135	506
211	135	504
212	136	503
213	136	502
214	137	501
215	137	499
216	137	497
217	138	496
218	138	494
219	139	492
220	139	491
221	139	490
222	140	488
223	140	487
224	140	485
225	141	483
226	141	482
227	141	480
228	142	478
229	142	477
230	142	475
231	143	474
232	143	472
233	144	471
234	144	470
235	145	470
236	145	468
237	145	467
238	146	465
239	146	465
240	147	464
241	147	462
242	148	461
243	148	459
244	148	458
245	149	457
246	149	455
247	149	454
248	150	452
249	150	451
250	150	449
251	151	448
252	151	447
253	151	445
254	152	444
255	152	443
256	152	442
257	153	440
258	153	439
259	153	438
260	154	436
261	154	435
262	154	434
263	155	433
264	155	432
265	156	430
266	156	429
267	156	428
268	157	427
269	157	425
270	157	424
271	158	423
272	158	422
273	158	420
274	159	419
275	159	419
276	160	417
277	160	417
278	161	416
279	161	415
280	161	413
281	162	412
282	162	411
283	162	410
284	163	409
285	163	408
286	163	406
287	164	405
288	164	404
289	164	403
290	165	402
291	165	401
292	165	400
293	166	398
294	166	397
295	166	396
296	167	395
297	167	394
298	167	393
299	168	392
300	168	391
301	168	390
302	169	389
303	169	388
304	170	387
305	170	386
306	170	385
307	171	384
308	171	383
309	171	382
310	172	381
311	172	380
312	172	379
313	173	378
314	173	378
315	174	377
316	174	376
317	175	375
318	175	374
319	176	374
320	176	373
321	176	372
322	177	371
323	177	370
324	177	369
325	178	368
326	178	367
327	178	366
328	179	365
329	179	364
330	179	363
331	180	362
332	180	361
333	181	361
334	181	360
335	181	359
336	182	358
337	182	357
338	182	356
339	183	355
340	183	354
341	183	353
342	184	352
343	184	351
344	184	350
345	185	350
346	185	349
347	185	348
348	186	347
349	186	346
350	186	345
351	187	344
352	187	343
353	187	342
354	188	342
355	188	341
356	188	340
357	189	339
358	189	338
359	189	337
360	190	337
361	191	336
362	191	336
363	192	335
364	192	334
365	192	334
366	193	333
367	193	332
368	194	331
369	194	331
370	194	330
371	195	329
372	195	328
373	196	328
374	196	327
375	196	326
376	197	325
377	197	324
378	197	324
379	198	323
380	198	323
381	199	322
382	199	321
383	199	320
384	200	319
385	200	319
386	201	318
387	201	317
388	201	316
389	202	316
390	202	315
391	202	314
392	203	313
393	203	312
394	203	312
395	204	311
396	204	310
397	204	309
398	205	309
399	205	308
400	205	307
401	206	306
402	206	306
403	206	305
404	207	304
405	207	303
406	207	302
407	208	302
408	208	301
409	209	300
410	209	300
411	209	299
412	210	298
413	210	297
414	210	297
415	211	296
416	211	295
417	211	294
418	212	294
419	212	293
420	212	292
421	213	291
422	213	291
423	213	290
424	214	289
425	214	289
426	214	288
427	215	287
428	215	287
429	216	286
430	216	285
431	216	284
432	217	284
433	217	283
434	217	282
435	217	281
436	218	281
437	218	280
438	218	279
439	219	279
440	219	278
441	219	277
442	220	277
443	220	276
444	221	275
445	221	275
446	221	274
447	222	273
448	222	273
449	222	272
450	223	271
451	223	271
452	224	270
453	224	269
454	224	269
455	225	268
456	225	267
457	225	267
458	226	266
459	226	265
460	226	265
461	227	264
462	227	263
463	227	263
464	228	262
465	228	262
466	229	261
467	229	260
468	229	260
469	230	259
470	230	258
471	230	258
472	231	257
473	231	256
474	231	256
475	232	255
476	232	254
477	232	254
478	232	253
479	233	252
480	233	252
481	234	251
482	234	250
483	234	250
484	235	249
485	235	248
486	235	248
487	236	247
488	236	247
489	236	246
490	237	245
491	237	245
492	238	244
493	238	244
494	238	243
495	239	242
496	239	242
497	239	241
498	240	241
499	240	240
500	240	239
501	241	239
502	241	238
503	241	238
504	242	237
505	242	236
506	242	236
507	243	235
508	243	235
509	244	234
510	244	233
511	244	233
512	245	232
513	245	232
514	245	231
515	246	230
516	246	230
517	246	229
518	247	228
519	247	228
520	247	227
521	248	227
522	248	226
523	248	226
524	249	225
525	249	224
526	249	224
527	250	223
528	250	223
529	250	222
530	251	221
531	251	221
532	251	220
533	252	220
534	252	219
535	253	219
536	253	218
537	254	218
538	254	217
539	254	217
540	255	216
541	255	215
542	255	215
543	256	214
544	256	214
545	257	213
546	257	213
547	258	213
548	258	212
549	259	211
550	259	211
551	259	210
552	260	210
553	260	209
554	260	209
555	261	208
556	261	208
557	262	207
558	262	206
559	262	206
560	263	205
561	263	205
562	263	204
563	264	204
564	264	203
565	264	203
566	265	202
567	265	201
568	265	201
569	266	200
570	266	200
571	266	199
572	267	199
573	267	198
574	268	198
575	268	197
576	268	197
577	269	196
578	269	195
579	269	195
580	270	194
581	270	194
582	270	193
583	271	193
584	271	192
585	272	192
586	272	191
587	272	191
588	273	190
589	273	190
590	274	189
591	274	189
592	274	188
593	275	188
594	275	187
595	275	186
596	276	186
597	276	185
598	276	185
599	277	184
600	277	184
601	278	183
602	278	183
603	278	182
604	279	182
605	279	181
606	279	181
607	280	180
608	280	180
609	280	179
610	281	178
611	281	178
612	281	177
613	282	177
614	282	176
615	282	176
616	283	175
617	283	175
618	283	174
619	284	174
620	284	173
621	285	173
622	285	172
623	285	172
624	286	171
625	286	171
626	286	170
627	287	170
628	287	169
629	287	169
630	288	168
631	288	167
632	288	167
633	289	166
634	289	166
635	289	165
636	290	165
637	290	164
638	291	164
639	291	163
640	292	163
641	292	163
642	292	162
643	293	162
644	293	161
645	293	161
646	294	160
647	294	160
648	295	159
649	295	159
650	295	158
651	296	158
652	296	157
653	296	157
654	297	156
655	297	156
656	297	155
657	298	154
658	298	154
659	298	153
660	299	153
661	299	152
662	299	152
663	300	151
664	300	151
665	300	150
666	301	150
667	301	149
668	302	149
669	302	148
670	302	148
671	303	148
672	303	147
673	304	147
674	304	146
675	304	146
676	305	145
677	305	145
678	305	144
679	306	144
680	306	143
681	306	143
682	307	142
683	307	142
684	307	141
685	308	141
686	308	140
687	308	139
688	308	139
689	309	138
690	309	138
691	309	137
692	310	137
693	310	136
694	310	136
695	311	135
696	311	135
697	312	135
698	312	134
699	313	134
700	313	133
701	314	133
702	314	132
703	314	132
704	315	131
705	315	131
706	315	130
707	316	130
708	316	129
709	316	129
710	317	128
711	317	128
712	317	127
713	318	127
714	318	126
715	318	126
716	319	126
717	319	125
718	320	125
719	320	124
720	320	124
721	321	123
722	321	123
723	321	122
724	322	122
725	322	121
726	323	121
727	323	120
728	323	120
729	324	119
730	324	119
